,id,platform,keepID,json_name,column_name,path,list_path,subfield_path,var_type,data_type,file_path,duplicate_flag,date_added,final_path
1635,story_interactions:emoji_story_reactions:href,Instagram,story_interactions:emoji_story_reactions:href,emoji_story_reactions.json,href,story_activities_emoji_quick_reactions/string_list_data/href,"[""story_activities_emoji_quick_reactions"", ""string_list_data""]","[""href""]",list,string,your_instagram_activity/story_interactions/emoji_story_reactions.json,No,11/11/2025,your_instagram_activity/story_interactions/emoji_story_reactions.json/story_activities_emoji_quick_reactions/string_list_data/href
1636,story_interactions:emoji_story_reactions:value,Instagram,story_interactions:emoji_story_reactions:value,emoji_story_reactions.json,value,story_activities_emoji_quick_reactions/string_list_data/value,"[""story_activities_emoji_quick_reactions"", ""string_list_data""]","[""value""]",list,string,your_instagram_activity/story_interactions/emoji_story_reactions.json,No,11/11/2025,your_instagram_activity/story_interactions/emoji_story_reactions.json/story_activities_emoji_quick_reactions/string_list_data/value
1637,story_interactions:emoji_story_reactions:timestamp,Instagram,story_interactions:emoji_story_reactions:timestamp,emoji_story_reactions.json,timestamp,story_activities_emoji_quick_reactions/string_list_data/timestamp,"[""story_activities_emoji_quick_reactions"", ""string_list_data""]","[""timestamp""]",list,number,your_instagram_activity/story_interactions/emoji_story_reactions.json,No,11/11/2025,your_instagram_activity/story_interactions/emoji_story_reactions.json/story_activities_emoji_quick_reactions/string_list_data/timestamp
1638,past_instagram_insights:content_interactions:Post Shares:href,Instagram,past_instagram_insights:content_interactions:Post Shares:href,content_interactions.json,href,organic_insights_interactions/string_map_data/Post Shares/href,"[""organic_insights_interactions""]","[""string_map_data"", ""Post Shares"", ""href""]",list,string,logged_information/past_instagram_insights/content_interactions.json,No,11/11/2025,logged_information/past_instagram_insights/content_interactions.json/organic_insights_interactions/string_map_data/Post Shares/href
1639,past_instagram_insights:content_interactions:Post Shares:value,Instagram,past_instagram_insights:content_interactions:Post Shares:value,content_interactions.json,value,organic_insights_interactions/string_map_data/Post Shares/value,"[""organic_insights_interactions""]","[""string_map_data"", ""Post Shares"", ""value""]",list,string,logged_information/past_instagram_insights/content_interactions.json,No,11/11/2025,logged_information/past_instagram_insights/content_interactions.json/organic_insights_interactions/string_map_data/Post Shares/value
1640,past_instagram_insights:content_interactions:Post Shares:timestamp,Instagram,past_instagram_insights:content_interactions:Post Shares:timestamp,content_interactions.json,timestamp,organic_insights_interactions/string_map_data/Post Shares/timestamp,"[""organic_insights_interactions""]","[""string_map_data"", ""Post Shares"", ""timestamp""]",list,number,logged_information/past_instagram_insights/content_interactions.json,No,11/11/2025,logged_information/past_instagram_insights/content_interactions.json/organic_insights_interactions/string_map_data/Post Shares/timestamp
1641,past_instagram_insights:content_interactions:Reels Likes:href,Instagram,past_instagram_insights:content_interactions:Reels Likes:href,content_interactions.json,href,organic_insights_interactions/string_map_data/Reels Likes/href,"[""organic_insights_interactions""]","[""string_map_data"", ""Reels Likes"", ""href""]",list,string,logged_information/past_instagram_insights/content_interactions.json,No,11/11/2025,logged_information/past_instagram_insights/content_interactions.json/organic_insights_interactions/string_map_data/Reels Likes/href
1642,past_instagram_insights:content_interactions:Reels Likes:value,Instagram,past_instagram_insights:content_interactions:Reels Likes:value,content_interactions.json,value,organic_insights_interactions/string_map_data/Reels Likes/value,"[""organic_insights_interactions""]","[""string_map_data"", ""Reels Likes"", ""value""]",list,string,logged_information/past_instagram_insights/content_interactions.json,No,11/11/2025,logged_information/past_instagram_insights/content_interactions.json/organic_insights_interactions/string_map_data/Reels Likes/value
1643,past_instagram_insights:content_interactions:Reels Likes:timestamp,Instagram,past_instagram_insights:content_interactions:Reels Likes:timestamp,content_interactions.json,timestamp,organic_insights_interactions/string_map_data/Reels Likes/timestamp,"[""organic_insights_interactions""]","[""string_map_data"", ""Reels Likes"", ""timestamp""]",list,number,logged_information/past_instagram_insights/content_interactions.json,No,11/11/2025,logged_information/past_instagram_insights/content_interactions.json/organic_insights_interactions/string_map_data/Reels Likes/timestamp
1644,past_instagram_insights:content_interactions:Reels Comments:href,Instagram,past_instagram_insights:content_interactions:Reels Comments:href,content_interactions.json,href,organic_insights_interactions/string_map_data/Reels Comments/href,"[""organic_insights_interactions""]","[""string_map_data"", ""Reels Comments"", ""href""]",list,string,logged_information/past_instagram_insights/content_interactions.json,No,11/11/2025,logged_information/past_instagram_insights/content_interactions.json/organic_insights_interactions/string_map_data/Reels Comments/href
