,platform,final_path,id,keepID
1436,Facebook,your_facebook_activity/comments_and_reactions/your_comment_edits.json/label_values/label,your_facebook_activity:comments_and_reactions:your_comment_edits:label_values:label,comments_and_reactions:your_comment_edits:label
1437,Facebook,your_facebook_activity/comments_and_reactions/your_comment_edits.json/label_values/value,your_facebook_activity:comments_and_reactions:your_comment_edits:label_values:value,comments_and_reactions:your_comment_edits:value
1438,Facebook,your_facebook_activity/polls/your_poll_votes.json/label_values/label,polls:your_poll_votes:label,polls:your_poll_votes:label_values:label
1439,Facebook,your_facebook_activity/polls/your_poll_votes.json/label_values/value,polls:your_poll_votes:value,polls:your_poll_votes:label_values:value
1480,Facebook,logged_information/interactions/groups_you've_visited.json/label_values/label,interactions:groups_you've_visited:label,your_interactions_on_facebook:groups_you_ve_visited:label
1481,Facebook,logged_information/interactions/groups_you've_visited.json/label_values/value,interactions:groups_you've_visited:value,your_interactions_on_facebook:groups_you_ve_visited:value
1490,Facebook,your_facebook_activity/comments_and_reactions/likes_and_reactions.json/label_values/label,your_facebook_activity:comments_and_reactions:likes_and_reactions:label_values:label,comments_and_reactions:likes_and_reactions:label_values:label
1491,Facebook,your_facebook_activity/comments_and_reactions/likes_and_reactions.json/label_values/value,your_facebook_activity:comments_and_reactions:likes_and_reactions:label_values:value,comments_and_reactions:likes_and_reactions:label_values:value
1567,Facebook,your_facebook_activity/pages/pages_and_profiles_you_follow.json/pages_followed_v2/data/name,your_facebook_activity:pages:pages_and_profiles_you_follow:pages_followed_v2:data:name,pages:pages_and_profiles_you_follow:name
1593,Facebook,your_facebook_activity/comments_and_reactions/likes_and_reactions_1.json/data/reaction/reaction,your_facebook_activity:comments_and_reactions:likes_and_reactions_1:data:reaction:reaction,comments_and_reactions:likes_and_reactions_1:reaction
1616,Facebook,your_facebook_activity/comments_and_reactions/comments.json/comments_v2/data/comment/timestamp,your_facebook_activity:comments_and_reactions:comments:comments_v2:data:comment:timestamp,comments_and_reactions:comments:comment:timestamp
1617,Facebook,your_facebook_activity/comments_and_reactions/comments.json/comments_v2/data/comment/comment,your_facebook_activity:comments_and_reactions:comments:comments_v2:data:comment:comment,comments_and_reactions:comments:comment
1619,Facebook,your_facebook_activity/groups/your_comments_in_groups.json/group_comments_v2/data/comment/timestamp,your_facebook_activity:groups:your_comments_in_groups:group_comments_v2:data:comment:timestamp,groups:your_comments_in_groups:comment:timestamp
1620,Facebook,your_facebook_activity/groups/your_comments_in_groups.json/group_comments_v2/data/comment/comment,your_facebook_activity:groups:your_comments_in_groups:group_comments_v2:data:comment:comment,groups:your_comments_in_groups:comment
1622,Facebook,your_facebook_activity/groups/your_comments_in_groups.json/group_comments_v2/data/comment/group,your_facebook_activity:groups:your_comments_in_groups:group_comments_v2:data:comment:group,groups:your_comments_in_groups:group
1637,Facebook,your_facebook_activity/other_activity/time_spent_on_facebook.json/label_values/vec/dict/label,your_facebook_activity:other_activity:time_spent_on_facebook:label_values:vec:dict:label,other_activity:time_spent_on_facebook:vec:dict:label
1638,Facebook,your_facebook_activity/other_activity/time_spent_on_facebook.json/label_values/vec/dict/timestamp_value,your_facebook_activity:other_activity:time_spent_on_facebook:label_values:vec:dict:timestamp_value,other_activity:time_spent_on_facebook:dict:timestamp_value
1646,Facebook,your_facebook_activity/posts/your_videos.json/videos_v2/media_metadata/video_metadata/exif_data/upload_timestamp,your_facebook_activity:posts:your_videos:videos_v2:media_metadata:video_metadata:exif_data:upload_timestamp,posts:your_videos:upload_timestamp
1681,Facebook,your_facebook_activity/comments_and_reactions/your_comment_active_days.json/media,your_facebook_activity:comments_and_reactions:your_comment_active_days:media,comments_and_reactions:your_comment_active_days:media
1682,Facebook,your_facebook_activity/comments_and_reactions/your_comment_active_days.json/fbid,your_facebook_activity:comments_and_reactions:your_comment_active_days:fbid,comments_and_reactions:your_comment_active_days:fbid
1712,Facebook,ads_information/advertisers_you've_interacted_with.json/timestamp,ads_information:advertisers_you've_interacted_with:timestamp,ads_information:advertisers_you_ve_interacted_with:timestamp
1717,Facebook,logged_information/your_interactions_on_facebook/groups_you've_visited.json/timestamp,your_interactions_on_facebook:groups_you've_visited:timestamp,your_interactions_on_facebook:groups_you_ve_visited:timestamp
1718,Facebook,logged_information/your_interactions_on_facebook/groups_you've_visited.json/media,your_interactions_on_facebook:groups_you've_visited:media,your_interactions_on_facebook:groups_you_ve_visited:media
1719,Facebook,logged_information/your_interactions_on_facebook/groups_you've_visited.json/fbid,your_interactions_on_facebook:groups_you've_visited:fbid,your_interactions_on_facebook:groups_you_ve_visited:fbid
1726,Facebook,your_facebook_activity/comments_and_reactions/your_comment_active_days.json/label_values/label,your_facebook_activity:comments_and_reactions:your_comment_active_days:label_values:label,comments_and_reactions:your_comment_active_days:label
1727,Facebook,your_facebook_activity/comments_and_reactions/your_comment_active_days.json/label_values/value,your_facebook_activity:comments_and_reactions:your_comment_active_days:label_values:value,comments_and_reactions:your_comment_active_days:value
1739,Facebook,logged_information/your_interactions_on_facebook/recently_visited.json/visited_things_v2/name,your_interactions_on_facebook:recently_visited:visited_things_v2:name,interactions:recently_visited:visited_things_v2:name
1740,Facebook,logged_information/your_interactions_on_facebook/recently_visited.json/visited_things_v2/description,your_interactions_on_facebook:recently_visited:description,interactions:recently_visited:description
1747,Facebook,logged_information/your_interactions_on_facebook/recently_viewed.json/recently_viewed/name,your_interactions_on_facebook:recently_viewed:recently_viewed:name,interactions:recently_viewed:recently_viewed:name
1748,Facebook,logged_information/your_interactions_on_facebook/recently_viewed.json/recently_viewed/description,your_interactions_on_facebook:recently_viewed:recently_viewed:description,interactions:recently_viewed:recently_viewed:description
1754,Facebook,logged_information/your_interactions_on_facebook/groups_you've_visited.json/label_values/label,your_interactions_on_facebook:groups_you've_visited:label,your_interactions_on_facebook:groups_you_ve_visited:label
1755,Facebook,logged_information/your_interactions_on_facebook/groups_you've_visited.json/label_values/value,your_interactions_on_facebook:groups_you've_visited:value,your_interactions_on_facebook:groups_you_ve_visited:value
1759,Facebook,your_facebook_activity/groups/group_posts_and_comments.json/group_posts_v2/data/post,your_facebook_activity:groups:group_posts_and_comments:group_posts_v2:data:post,groups:group_posts_and_comments:post
1760,Facebook,your_facebook_activity/groups/your_group_membership_activity.json/groups_joined_v2/data/name,your_facebook_activity:groups:your_group_membership_activity:groups_joined_v2:data:name,groups:your_group_membership_activity:name
1762,Facebook,logged_information/your_interactions_on_facebook/recently_visited.json/visited_things_v2/entries/timestamp,your_interactions_on_facebook:recently_visited:timestamp,interactions:recently_visited:timestamp
1779,Facebook,logged_information/your_interactions_on_facebook/recently_viewed.json/recently_viewed/entries/timestamp,your_interactions_on_facebook:recently_viewed:recently_viewed:entries:timestamp,interactions:recently_viewed:recently_viewed:entries:timestamp
1782,Facebook,logged_information/your_interactions_on_facebook/recently_visited.json/visited_things_v2/entries/data/name,your_interactions_on_facebook:recently_visited:data:name,interactions:recently_visited:data:name
