,participant,platform,final_path,date_added,duplicate_flag,keepID
1840,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/pages/pages_you_are_a_customer_of.json/label_values/dict/dict/href,11/11/2025,No,pages:pages_you_are_a_customer_of:href
1841,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/group_posts_and_comments.json/group_posts_v2/attachments/data/media/uri,11/11/2025,No,groups:group_posts_and_comments:uri
1842,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/group_posts_and_comments.json/group_posts_v2/attachments/data/media/creation_timestamp,11/11/2025,No,groups:group_posts_and_comments:creation_timestamp
1843,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/group_posts_and_comments.json/group_posts_v2/attachments/data/media/description,11/11/2025,No,groups:group_posts_and_comments:description
1844,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/group_posts_and_comments.json/group_posts_v2/attachments/data/media/title,11/11/2025,No,groups:group_posts_and_comments:media:title
1845,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/group_posts_and_comments.json/group_posts_v2/attachments/data/media/dubbing_info,11/11/2025,No,groups:group_posts_and_comments:dubbing_info
1846,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/group_posts_and_comments.json/group_posts_v2/attachments/data/media/media_variants,11/11/2025,No,groups:group_posts_and_comments:media_variants
1847,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/your_comments_in_groups.json/group_comments_v2/attachments/data/media/uri,11/11/2025,No,groups:your_comments_in_groups:uri
1848,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/your_comments_in_groups.json/group_comments_v2/attachments/data/media/creation_timestamp,11/11/2025,No,groups:your_comments_in_groups:creation_timestamp
1849,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/your_comments_in_groups.json/group_comments_v2/attachments/data/external_context/url,11/11/2025,No,groups:your_comments_in_groups:url
1850,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/comments_and_reactions/comments.json/comments_v2/attachments/data/media/uri,11/11/2025,No,comments_and_reactions:comments:uri
1851,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/comments_and_reactions/comments.json/comments_v2/attachments/data/media/creation_timestamp,11/11/2025,No,comments_and_reactions:comments:creation_timestamp
1852,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/comments_and_reactions/comments.json/comments_v2/attachments/data/external_context/url,11/11/2025,No,comments_and_reactions:comments:url
1853,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/posts/your_videos.json/videos_v2/media_metadata/video_metadata/exif_data/upload_timestamp,pre-trial,No,posts:your_videos:upload_timestamp
1854,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/posts/your_videos.json/videos_v2/media_metadata/video_metadata/exif_data/upload_timestamp,11/11/2025,No,posts:your_videos:upload_timestamp
1855,Output_structure_Facebook_a6a3da1372c02200,Facebook,logged_information/interactions/recently_viewed.json/recently_viewed/children/entries/data/value,pre-trial,No,interactions:recently_viewed:value
