,participant,platform,column_name,path,list_path,subfield_path,var_type,data_type,json_name,file_path,final_path
9096,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,focal_length,ig_stories/media_metadata/photo_metadata/exif_data/focal_length,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['focal_length'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/focal_length
9097,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,lens_model,ig_stories/media_metadata/photo_metadata/exif_data/lens_model,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['lens_model'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/lens_model
9098,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,scene_capture_type,ig_stories/media_metadata/photo_metadata/exif_data/scene_capture_type,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['scene_capture_type'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/scene_capture_type
9099,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,software,ig_stories/media_metadata/photo_metadata/exif_data/software,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['software'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/software
9100,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,device_id,ig_stories/media_metadata/photo_metadata/exif_data/device_id,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['device_id'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/device_id
9101,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,scene_type,ig_stories/media_metadata/photo_metadata/exif_data/scene_type,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['scene_type'],list,number,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/scene_type
9102,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,camera_position,ig_stories/media_metadata/photo_metadata/exif_data/camera_position,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['camera_position'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/camera_position
9103,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,lens_make,ig_stories/media_metadata/photo_metadata/exif_data/lens_make,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['lens_make'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/lens_make
9104,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,date_time_digitized,ig_stories/media_metadata/photo_metadata/exif_data/date_time_digitized,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['date_time_digitized'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/date_time_digitized
9105,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,date_time_original,ig_stories/media_metadata/photo_metadata/exif_data/date_time_original,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['date_time_original'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/date_time_original
